routes,counts,probability,bitstring
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",88,0.021484375,001001001001
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",82,0.02001953125,001100001001
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",81,0.019775390625,001001001010
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",81,0.019775390625,100001001001
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",79,0.019287109375,001001001100
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",75,0.018310546875,001001010010
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",75,0.018310546875,001001100010
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",75,0.018310546875,010001001001
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",71,0.017333984375,001001010001
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",71,0.017333984375,010001100001
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",66,0.01611328125,001100001010
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",66,0.01611328125,010001001010
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",65,0.015869140625,001001100100
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",65,0.015869140625,100001001100
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",65,0.015869140625,100001100001
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",62,0.01513671875,001100010001
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",61,0.014892578125,001010001010
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",61,0.014892578125,001100100001
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",60,0.0146484375,001001010100
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",60,0.0146484375,001010010001
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",60,0.0146484375,010001001100
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",59,0.014404296875,001001100001
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",58,0.01416015625,001010001001
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",58,0.01416015625,001010100001
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",56,0.013671875,010010010001
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",55,0.013427734375,001100001100
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",55,0.013427734375,100001010100
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",53,0.012939453125,001010001100
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",53,0.012939453125,001010100100
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",53,0.012939453125,010001010001
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",53,0.012939453125,100001001010
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",53,0.012939453125,100100001001
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",52,0.0126953125,100010100001
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",52,0.0126953125,100100010001
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",51,0.012451171875,010010001001
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",51,0.012451171875,100001010001
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",51,0.012451171875,100001010010
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",51,0.012451171875,100010001001
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",50,0.01220703125,001100100010
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",50,0.01220703125,010001010010
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",50,0.01220703125,100001100010
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",50,0.01220703125,100100100001
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",49,0.011962890625,100010010001
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",47,0.011474609375,001100010100
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",47,0.011474609375,010001100100
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",47,0.011474609375,100010001010
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",46,0.01123046875,010010100001
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",45,0.010986328125,010010001100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",45,0.010986328125,010100001100
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",45,0.010986328125,100010010100
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",44,0.0107421875,010001100010
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",43,0.010498046875,100010001100
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",42,0.01025390625,001100100100
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",42,0.01025390625,010100010100
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",42,0.01025390625,100100001010
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",41,0.010009765625,100001100100
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",40,0.009765625,010010100010
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",40,0.009765625,010100001010
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",40,0.009765625,100100001100
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",40,0.009765625,100100010100
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",39,0.009521484375,010100001001
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",39,0.009521484375,100010010010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",39,0.009521484375,100100010010
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",38,0.00927734375,001010010100
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",38,0.00927734375,010010010100
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",38,0.00927734375,010100100100
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",37,0.009033203125,010010001010
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",36,0.0087890625,001010100010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",36,0.0087890625,001100010010
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",36,0.0087890625,010100010001
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",36,0.0087890625,010100100001
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",35,0.008544921875,100100100100
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",34,0.00830078125,010001010100
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",34,0.00830078125,010010010010
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",34,0.00830078125,010010100100
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",33,0.008056640625,010100010010
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",33,0.008056640625,100010100100
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",32,0.0078125,001010010010
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",29,0.007080078125,100100100010
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",27,0.006591796875,100010100010
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",25,0.006103515625,010100100010
