routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,current_objective,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",000001000001,"[""100000100000""]",7,0.001708984375,False,False,,,0.7643933979097913,0.026609836603039574,{},{}
"[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",011111001101,"[""101100111110""]",6,0.00146484375,False,False,,,10.831641548348742,0.41456558583779624,{},{}
"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",110011111110,"[""011111110011""]",6,0.00146484375,False,False,,,13.023349112723551,0.4990261591279697,{},{}
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",000001111111,"[""111111100000""]",5,0.001220703125,False,False,,,12.158309527921219,0.4656906263960107,{},{}
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",000010101101,"[""101101010000""]",5,0.001220703125,False,False,,,4.079564650907532,0.15436468361574457,{},{}
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",010100011001,"[""100110001010""]",5,0.001220703125,False,False,,,2.0419639006640837,0.07584283594801504,{},{}
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",010100011011,"[""110110001010""]",5,0.001220703125,False,False,,,4.1072396591749145,0.15543117948502364,{},{}
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",101001100111,"[""111001100101""]",5,0.001220703125,False,False,,,8.544521738805763,0.326428165756201,{},{}
"[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",101110101011,"[""110101011101""]",5,0.001220703125,False,False,,,8.693025545660628,0.3321509715112256,{},{}
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",110010000100,"[""001000010011""]",5,0.001220703125,False,False,,,2.262582192340153,0.08434467610960372,{},{}
"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",110110001000,"[""000100011011""]",5,0.001220703125,False,False,,,4.37149682754268,0.16561470592767935,{},{}
"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0]",110111001110,"[""011100111011""]",5,0.001220703125,False,False,,,10.987460650513118,0.42057029691891046,{},{}
"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]",111001101100,"[""001101100111""]",5,0.001220703125,False,False,,,8.774323362182637,0.3352838986874143,{},{}
"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",111101010000,"[""000010101111""]",5,0.001220703125,False,False,,,8.616856382431635,0.3292156842959403,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",000000001100,"[""001100000000""]",4,0.0009765625,False,False,,,0.4039319937135185,0.01271894288059964,{},{}
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",000000010100,"[""001010000000""]",4,0.0009765625,False,False,,,0.2110674100398574,0.005286631394694508,{},{}
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",000001000010,"[""010000100000""]",4,0.0009765625,False,False,,,0.6172504065765688,0.0209394718127533,{},{}
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",000011000011,"[""110000110000""]",4,0.0009765625,False,False,,,4.581686455357535,0.17371466267074734,{},{}
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",000011110100,"[""001011110000""]",4,0.0009765625,False,False,,,4.129792995735146,0.1563003044387566,{},{}
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",000100001101,"[""101100001000""]",4,0.0009765625,False,False,,,2.268240490346421,0.0845627266840618,{},{}
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1]",000100100011,"[""110001001000""]",4,0.0009765625,False,False,,,2.0684458132101478,0.07686335417399416,{},{}
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",000101001001,"[""100100101000""]",4,0.0009765625,False,False,,,2.597367949306688,0.09724612218863121,{},{}
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",000101001101,"[""101100101000""]",4,0.0009765625,False,False,,,4.582345325356881,0.17374005316479543,{},{}
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",001000001110,"[""011100000100""]",4,0.0009765625,False,False,,,2.1023640024656576,0.07817043991665898,{},{}
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",001000100001,"[""100001000100""]",4,0.0009765625,False,False,,,0.5564678660653765,0.018597130023613694,{},{}
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1]",001011000011,"[""110000110100""]",4,0.0009765625,False,False,,,4.738676882626473,0.17976451243343047,{},{}
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",001011001101,"[""101100110100""]",4,0.0009765625,False,False,,,4.598792983680326,0.17437388710955135,{},{}
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",001100101111,"[""111101001100""]",4,0.0009765625,False,False,,,8.45015942454318,0.3227917795479531,{},{}
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",001101111100,"[""001111101100""]",4,0.0009765625,False,False,,,8.655765695688702,0.33071511011233845,{},{}
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",001111111001,"[""100111111100""]",4,0.0009765625,False,False,,,12.560093856804867,0.48117395788973605,{},{}
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",010001011101,"[""101110100010""]",4,0.0009765625,False,False,,,4.309913580566171,0.16324150777421584,{},{}
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",010001100000,"[""000001100010""]",4,0.0009765625,False,False,,,0.385419023457868,0.01200551919830186,{},{}
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",010001110010,"[""010011100010""]",4,0.0009765625,False,False,,,2.243201824739375,0.08359782603492101,{},{}
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",010010000001,"[""100000010010""]",4,0.0009765625,False,False,,,0.6078031998124431,0.02057541024164837,{},{}
"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]",010100110110,"[""011011001010""]",4,0.0009765625,False,False,,,4.261323062982136,0.16136900295727666,{},{}
"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0]",010101110110,"[""011011101010""]",4,0.0009765625,False,False,,,6.441231645528601,0.24537488567391713,{},{}
"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]",010110111100,"[""001111011010""]",4,0.0009765625,False,False,,,8.39636810464609,0.3207188544048401,{},{}
"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1]",010111001011,"[""110100111010""]",4,0.0009765625,False,False,,,8.663945314461644,0.33103032337440286,{},{}
