S,eta,T,rho,baseline_run_id,mixed_run_id,baseline_assignment,mixed_assignment,route_changed,validation_survival_delta,validation_worst_regret_improvement,final_survival_delta,final_worst_regret_improvement,effective_fraction_increase
5,0.5,3,0.1,B4-focused-s5-eta0p5-t3-rho0,B5-diversity-s5-eta0p5-t3-rho0p1,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.0019496468404365253
5,0.5,3,0.25,B4-focused-s5-eta0p5-t3-rho0,B5-diversity-s5-eta0p5-t3-rho0p25,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.004140889501804357
5,0.5,3,0.5,B4-focused-s5-eta0p5-t3-rho0,B5-diversity-s5-eta0p5-t3-rho0p5,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.006272521674093978
5,0.5,5,0.1,B4-focused-s5-eta0p5-t5-rho0,B5-diversity-s5-eta0p5-t5-rho0p1,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.011906129068009252
5,0.5,5,0.25,B4-focused-s5-eta0p5-t5-rho0,B5-diversity-s5-eta0p5-t5-rho0p25,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.022099743039127873
5,0.5,5,0.5,B4-focused-s5-eta0p5-t5-rho0,B5-diversity-s5-eta0p5-t5-rho0p5,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.02850425433206083
5,1.0,3,0.1,B4-focused-s5-eta1-t3-rho0,B5-diversity-s5-eta1-t3-rho0p1,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.007925139111510049
5,1.0,3,0.25,B4-focused-s5-eta1-t3-rho0,B5-diversity-s5-eta1-t3-rho0p25,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.016929666103420615
5,1.0,3,0.5,B4-focused-s5-eta1-t3-rho0,B5-diversity-s5-eta1-t3-rho0p5,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.02580905427535285
5,1.0,5,0.1,B4-focused-s5-eta1-t5-rho0,B5-diversity-s5-eta1-t5-rho0p1,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.04550159171040258
5,1.0,5,0.25,B4-focused-s5-eta1-t5-rho0,B5-diversity-s5-eta1-t5-rho0p25,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.08668826764004722
5,1.0,5,0.5,B4-focused-s5-eta1-t5-rho0,B5-diversity-s5-eta1-t5-rho0p5,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.11392589025144417
8,0.25,3,0.1,B4-focused-s8-eta0p25-t3-rho0,B5-diversity-s8-eta0p25-t3-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.00033439756865039083
8,0.25,3,0.25,B4-focused-s8-eta0p25-t3-rho0,B5-diversity-s8-eta0p25-t3-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0007092504768040353
8,0.25,3,0.5,B4-focused-s8-eta0p25-t3-rho0,B5-diversity-s8-eta0p25-t3-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0010727019173073504
8,0.25,5,0.1,B4-focused-s8-eta0p25-t5-rho0,B5-diversity-s8-eta0p25-t5-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0020811894347512183
8,0.25,5,0.25,B4-focused-s8-eta0p25-t5-rho0,B5-diversity-s8-eta0p25-t5-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0038378732993358255
8,0.25,5,0.5,B4-focused-s8-eta0p25-t5-rho0,B5-diversity-s8-eta0p25-t5-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0049270543856415605
8,0.5,3,0.1,B4-focused-s8-eta0p5-t3-rho0,B5-diversity-s8-eta0p5-t3-rho0p1,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0013866336510461874
8,0.5,3,0.25,B4-focused-s8-eta0p5-t3-rho0,B5-diversity-s8-eta0p5-t3-rho0p25,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.0029481235735612232
8,0.5,3,0.5,B4-focused-s8-eta0p5-t3-rho0,B5-diversity-s8-eta0p5-t3-rho0p5,"[0,2,1,2]","[0,2,1,2]",False,0.0,0.0,0.0,0.0,0.004470024373424364
