policy_label,selection_basis,run_id,S,eta,T,rho,final_assignment,final_effective_environments,final_effective_fraction,final_maximum_weight,validation_survival_rate,validation_mean_regret,validation_worst_regret,validation_violating_scenarios,validation_maximum_overflow,final_survival_rate,final_mean_regret,final_worst_regret,final_violating_scenarios,final_mean_overflow,final_maximum_overflow,final_mean_maximum_utilization,final_worst_maximum_utilization,final_mean_weighted_latency,final_maximum_weighted_latency,final_nominal_cost
original_static_S3,frozen original static control,B4-focused-s3-eta0-t3-rho0,3,0.0,3,0.0,"[1,0,2,2]",3.0,1.0,0.3333333333333333,1.0,0.0704474852850961,0.1912107947582657,0,0.0,1.0,0.0754448123720291,0.3163114558213304,0,0.0,0.0,0.458042328042328,0.6190476190476192,36.1375,43.16,0.2486486486486487
original_adaptive_S3,"frozen original eta=1,T=3,rho=0",B4-focused-s3-eta1-t3-rho0,3,1.0,3,0.0,"[0,1,1,2]",2.854057386780633,0.951352462260211,0.48584724206251,1.0,0.1442190767144086,0.2934571346793361,0,0.0,0.9166666666666666,0.1469901722475225,0.4783343109778619,2,0.0333333333333333,0.4000000000000003,0.7585978835978836,1.1111111111111112,33.91166666666667,40.3,0.2869034749034749
validation_selected_static,predeclared validation-only selection,B6-time-edge-s8-eta0-t1-rho0,8,0.0,1,0.0,"[0,2,1,2]",7.999999999999998,0.9999999999999998,0.125,1.0,0.0622362686637332,0.1588192674881542,0,0.0,1.0,0.0802396044858956,0.3163114558213304,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.16,0.2486486486486487
nominal_adaptive_selection_T1,predeclared eta>0 selection; zero updates at T=1,B6-eta-edge-s8-eta0p1-t1-rho0,8,0.1,1,0.0,"[0,2,1,2]",7.999999999999998,0.9999999999999998,0.125,1.0,0.0622362686637332,0.1588192674881542,0,0.0,1.0,0.0802396044858956,0.3163114558213304,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.16,0.2486486486486487
validation_selected_genuine_adaptive,validation-only supplement requiring T>1,B6-eta-edge-s8-eta0p1-t2-rho0,8,0.1,2,0.0,"[0,2,1,2]",7.999614164988312,0.999951770623539,0.1278950571055127,1.0,0.0622362686637332,0.1588192674881542,0,0.0,1.0,0.0802396044858956,0.3163114558213304,0,0.0,0.0,0.47244708994709,0.6190476190476192,36.16916666666667,43.16,0.2486486486486487
