routes,amplitude,magnitude,phase,probability,bitstring
"[0, 0, 1]",(0.5773502691896271+0j),0.58,0.00π,0.3333333333333348,100
"[1, 0, 0]",(0.5773502691896252+0j),0.58,0.00π,0.33333333333333265,001
"[0, 1, 0]",(0.5773502691896251+0j),0.58,0.00π,0.33333333333333254,010
