scenario_id,category,route_id,assignment,normalized_cost,regret,feasible,overflow,maximum_utilization,weighted_latency,exact_feasible_optimum,exact_optimum_assignments,scenario_winner,fractional_win
demand-s0-30,demand,exact_pure_minimax,"[0, 1, 1, 2]",0.27649346385491014,0.10688879717455843,True,0.0,0.7666666666666666,35.14,0.22726306970243337,"[[1, 0, 0, 2]]",False,0.0
demand-s1-30,demand,nominal_only,"[0, 1, 1, 0]",0.23584172558772754,0.018625936776242684,True,0.0,0.7666666666666666,31.740000000000002,0.22726306970243337,"[[2, 0, 0, 1]]",True,1.0
demand-s1-30,demand,static_uniform_multiscenario,"[1, 0, 2, 2]",0.2878633183471829,0.1315749710647108,True,0.0,0.52,39.02,0.22726306970243337,"[[2, 0, 0, 1]]",False,0.0
demand-s1-30,demand,exact_adaptive,"[0, 1, 1, 2]",0.3102018562834957,0.18007629817688867,True,0.0,0.7666666666666666,36.160000000000004,0.22726306970243337,"[[2, 0, 0, 1]]",False,0.0
demand-s1-30,demand,qaoa_adaptive,"[0, 1, 1, 2]",0.3102018562834957,0.18007629817688867,True,0.0,0.7666666666666666,36.160000000000004,0.22726306970243337,"[[2, 0, 0, 1]]",False,0.0
demand-s1-30,demand,exact_pure_minimax,"[0, 1, 1, 2]",0.3102018562834957,0.18007629817688867,True,0.0,0.7666666666666666,36.160000000000004,0.22726306970243337,"[[2, 0, 0, 1]]",False,0.0
capacity-um1-10,capacity,nominal_only,"[0, 1, 1, 0]",0.22825712816410498,0.0,True,0.0,0.7407407407407407,27.6,0.22825712816410498,"[[0, 1, 1, 0], [1, 0, 0, 1]]",True,1.0
capacity-um1-10,capacity,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24864864864864877,0.052135487520394305,True,0.0,0.4,33.2,0.22825712816410498,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-10,capacity,exact_adaptive,"[0, 1, 1, 2]",0.26727798411519355,0.09976555451149799,True,0.0,0.6666666666666666,31.0,0.22825712816410498,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-10,capacity,qaoa_adaptive,"[0, 1, 1, 2]",0.26727798411519355,0.09976555451149799,True,0.0,0.6666666666666666,31.0,0.22825712816410498,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-10,capacity,exact_pure_minimax,"[0, 1, 1, 2]",0.26727798411519355,0.09976555451149799,True,0.0,0.6666666666666666,31.0,0.22825712816410498,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-20,capacity,nominal_only,"[0, 1, 1, 0]",0.22585440036136417,0.0,True,0.0,0.8333333333333333,27.6,0.22585440036136417,"[[0, 1, 1, 0], [1, 0, 0, 1]]",True,1.0
capacity-um1-20,capacity,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24864864864864877,0.06770628349803602,True,0.0,0.41666666666666663,33.2,0.22585440036136417,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-20,capacity,exact_adaptive,"[0, 1, 1, 2]",0.2501585485206656,0.07219117405024814,True,0.0,0.6666666666666666,31.0,0.22585440036136417,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-20,capacity,qaoa_adaptive,"[0, 1, 1, 2]",0.2501585485206656,0.07219117405024814,True,0.0,0.6666666666666666,31.0,0.22585440036136417,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-20,capacity,exact_pure_minimax,"[0, 1, 1, 2]",0.2501585485206656,0.07219117405024814,True,0.0,0.6666666666666666,31.0,0.22585440036136417,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-30,capacity,nominal_only,"[0, 1, 1, 0]",0.22378110157021255,0.0,True,0.0,0.9523809523809526,27.6,0.22378110157021255,"[[0, 1, 1, 0], [1, 0, 0, 1]]",True,1.0
capacity-um1-30,capacity,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24864864864864877,0.08584816752849414,True,0.0,0.4761904761904763,33.2,0.22378110157021255,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-30,capacity,exact_adaptive,"[0, 1, 1, 2]",0.23538629463371027,0.04006364420154628,True,0.0,0.6666666666666666,31.0,0.22378110157021255,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-30,capacity,qaoa_adaptive,"[0, 1, 1, 2]",0.23538629463371027,0.04006364420154628,True,0.0,0.6666666666666666,31.0,0.22378110157021255,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-30,capacity,exact_pure_minimax,"[0, 1, 1, 2]",0.23538629463371027,0.04006364420154628,True,0.0,0.6666666666666666,31.0,0.22378110157021255,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
capacity-um1-40,capacity,nominal_only,"[0, 1, 1, 0]",0.22201860877270718,-0.003253896487643016,False,0.40000000000000036,1.1111111111111112,27.6,0.22282853345148432,"[[0, 1, 1, 2], [1, 0, 1, 2], [2, 1, 0, 1], [2, 1, 1, 0]]",False,0.0
capacity-um1-40,capacity,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24864864864864877,0.10373308080628313,True,0.0,0.5555555555555556,33.2,0.22282853345148432,"[[0, 1, 1, 2], [1, 0, 1, 2], [2, 1, 0, 1], [2, 1, 1, 0]]",False,0.0
capacity-um1-40,capacity,exact_adaptive,"[0, 1, 1, 2]",0.22282853345148432,0.0,True,0.0,0.6666666666666666,31.0,0.22282853345148432,"[[0, 1, 1, 2], [1, 0, 1, 2], [2, 1, 0, 1], [2, 1, 1, 0]]",True,0.3333333333333333
capacity-um1-40,capacity,qaoa_adaptive,"[0, 1, 1, 2]",0.22282853345148432,0.0,True,0.0,0.6666666666666666,31.0,0.22282853345148432,"[[0, 1, 1, 2], [1, 0, 1, 2], [2, 1, 0, 1], [2, 1, 1, 0]]",True,0.3333333333333333
capacity-um1-40,capacity,exact_pure_minimax,"[0, 1, 1, 2]",0.22282853345148432,0.0,True,0.0,0.6666666666666666,31.0,0.22282853345148432,"[[0, 1, 1, 2], [1, 0, 1, 2], [2, 1, 0, 1], [2, 1, 1, 0]]",True,0.3333333333333333
capacity-lm2-20,capacity,nominal_only,"[0, 1, 1, 0]",0.22585440036136417,0.06743475656855338,True,0.0,0.8333333333333333,27.6,0.20150989987201687,"[[0, 0, 1, 2], [1, 0, 0, 2], [2, 0, 0, 1], [2, 1, 0, 0]]",True,1.0
capacity-lm2-20,capacity,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24864864864864877,0.13057528332073787,True,0.0,0.41666666666666663,33.2,0.20150989987201687,"[[0, 0, 1, 2], [1, 0, 0, 2], [2, 0, 0, 1], [2, 1, 0, 0]]",False,0.0
capacity-lm2-20,capacity,exact_adaptive,"[0, 1, 1, 2]",0.2952838967100806,0.25975585952162883,True,0.0,0.8333333333333333,31.0,0.20150989987201687,"[[0, 0, 1, 2], [1, 0, 0, 2], [2, 0, 0, 1], [2, 1, 0, 0]]",False,0.0
capacity-lm2-20,capacity,qaoa_adaptive,"[0, 1, 1, 2]",0.2952838967100806,0.25975585952162883,True,0.0,0.8333333333333333,31.0,0.20150989987201687,"[[0, 0, 1, 2], [1, 0, 0, 2], [2, 0, 0, 1], [2, 1, 0, 0]]",False,0.0
capacity-lm2-20,capacity,exact_pure_minimax,"[0, 1, 1, 2]",0.2952838967100806,0.25975585952162883,True,0.0,0.8333333333333333,31.0,0.20150989987201687,"[[0, 0, 1, 2], [1, 0, 0, 2], [2, 0, 0, 1], [2, 1, 0, 0]]",False,0.0
capacity-lm2-40,capacity,nominal_only,"[0, 1, 1, 0]",0.22201860877270718,0.2346998631297662,False,0.40000000000000036,1.1111111111111112,27.6,0.14543553389455027,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]",False,0.0
capacity-lm2-40,capacity,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24864864864864877,0.3163114558213304,True,0.0,0.5555555555555556,33.2,0.14543553389455027,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]",True,1.0
capacity-lm2-40,capacity,exact_adaptive,"[0, 1, 1, 2]",0.30151705804164824,0.4783343109778619,False,0.40000000000000036,1.1111111111111112,31.0,0.14543553389455027,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]",False,0.0
capacity-lm2-40,capacity,qaoa_adaptive,"[0, 1, 1, 2]",0.30151705804164824,0.4783343109778619,False,0.40000000000000036,1.1111111111111112,31.0,0.14543553389455027,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]",False,0.0
capacity-lm2-40,capacity,exact_pure_minimax,"[0, 1, 1, 2]",0.30151705804164824,0.4783343109778619,False,0.40000000000000036,1.1111111111111112,31.0,0.14543553389455027,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]",False,0.0
latency-um1-10,latency,nominal_only,"[0, 1, 1, 0]",0.22514285714285712,0.0,True,0.0,0.6666666666666666,28.0,0.22514285714285712,"[[0, 1, 1, 0], [1, 0, 0, 1]]",True,1.0
latency-um1-10,latency,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24571428571428575,0.04477611940298518,True,0.0,0.4,33.4,0.22514285714285712,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-10,latency,exact_adaptive,"[0, 1, 1, 2]",0.2805714285714287,0.1206467661691545,True,0.0,0.6666666666666666,31.200000000000003,0.22514285714285712,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-10,latency,qaoa_adaptive,"[0, 1, 1, 2]",0.2805714285714287,0.1206467661691545,True,0.0,0.6666666666666666,31.200000000000003,0.22514285714285712,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-10,latency,exact_pure_minimax,"[0, 1, 1, 2]",0.2805714285714287,0.1206467661691545,True,0.0,0.6666666666666666,31.200000000000003,0.22514285714285712,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-25,latency,nominal_only,"[0, 1, 1, 0]",0.21496428571428575,0.0,True,0.0,0.6666666666666666,28.6,0.21496428571428575,"[[0, 1, 1, 0], [1, 0, 0, 1]]",True,1.0
latency-um1-25,latency,static_uniform_multiscenario,"[1, 0, 2, 2]",0.24062500000000014,0.05464293862651174,True,0.0,0.4,33.7,0.21496428571428575,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-25,latency,exact_adaptive,"[0, 1, 1, 2]",0.26958928571428575,0.11632063274773745,True,0.0,0.6666666666666666,31.5,0.21496428571428575,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-25,latency,qaoa_adaptive,"[0, 1, 1, 2]",0.26958928571428575,0.11632063274773745,True,0.0,0.6666666666666666,31.5,0.21496428571428575,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-25,latency,exact_pure_minimax,"[0, 1, 1, 2]",0.26958928571428575,0.11632063274773745,True,0.0,0.6666666666666666,31.5,0.21496428571428575,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
latency-um1-50,latency,nominal_only,"[0, 1, 1, 0]",0.192973544973545,0.0,True,0.0,0.6666666666666666,29.6,0.192973544973545,"[[0, 1, 1, 0], [1, 0, 0, 1]]",True,1.0
latency-um1-50,latency,static_uniform_multiscenario,"[1, 0, 2, 2]",0.22962962962962982,0.0745651799552268,True,0.0,0.4,34.2,0.192973544973545,"[[0, 1, 1, 0], [1, 0, 0, 1]]",False,0.0
