routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,weighted_cost,worst_case_regret,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",010010100010100001,"[""100001010001010010""]",1,0.000244140625,True,False,"[1, 1, 0, 1, 0, 2]",0.2556069868778591,0.21644681604368274,0.2556069868778593,0.0015318605773635967,"{""degradation"": 0.23541443475920168, ""nominal"": 0.25764257933627255, ""surge"": 0.2737639465381032}","{""degradation"": 0.12697800833520292, ""nominal"": 0.1326859157542568, ""surge"": 0.21644681604368274}"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",010100100010001100,"[""1100010001001010""]",1,0.000244140625,True,False,"[1, 0, 0, 1, 2, 0]",0.22277657486542057,0.23328460334473297,0.22277657486542077,0.00034797131923645436,"{""degradation"": 0.2577063848861739, ""nominal"": 0.20355978404572947, ""surge"": 0.20706355566435836}","{""degradation"": 0.23328460334473297, ""nominal"": 0.023071973222456986, ""surge"": 0.02757188069000088}"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",010100100100010010,"[""10010001001001010""]",1,0.000244140625,True,False,"[1, 0, 0, 0, 1, 1]",0.2541773288093215,0.16839773272269323,0.2541773288093224,0.0014803060361201189,"{""degradation"": 0.24339462392955458, ""nominal"": 0.2623417481142462, ""surge"": 0.25679561438416365}","{""degradation"": 0.1650342005211742, ""nominal"": 0.14221009832671533, ""surge"": 0.16839773272269323}"
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",100001010001100001,"[""100001100010100001""]",1,0.000244140625,True,False,"[0, 2, 1, 2, 0, 2]",0.27659456202095944,0.41661986943191065,0.27659456202095956,0.0022886882637367907,"{""degradation"": 0.29615085399709007, ""nominal"": 0.26782819808948743, ""surge"": 0.26580463397630083}","{""degradation"": 0.41661986943191065, ""nominal"": 0.15332992689805483, ""surge"": 0.1939084976638737}"
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",100001100001100010,"[""10001100001100001""]",1,0.000244140625,True,False,"[0, 2, 0, 2, 0, 1]",0.2708190305948893,0.44156419805201474,0.27081903059489,0.0020804182727080785,"{""degradation"": 0.3013815523324127, ""nominal"": 0.24518559471556267, ""surge"": 0.26588994473669253}","{""degradation"": 0.44156419805201474, ""nominal"": 0.1074383450804686, ""surge"": 0.19415007142592938}"
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",100001100100100001,"[""100001001001100001""]",1,0.000244140625,True,False,"[0, 2, 0, 0, 0, 2]",0.42298018146083494,0.9773380423363002,0.42298018146083566,0.0075674633925258165,"{""degradation"": 0.4137305915905207, ""nominal"": 0.42685467316003795, ""surge"": 0.4283552796319463}","{""degradation"": 0.9773380423363002, ""nominal"": 0.4756416492447379, ""surge"": 0.6542017926165777}"
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",100010001100001001,"[""100100001100010001""]",1,0.000244140625,True,False,"[0, 1, 2, 0, 2, 2]",0.27731513848212835,0.41661986943191065,0.27731513848212846,0.002314672790879305,"{""degradation"": 0.29615085399709007, ""nominal"": 0.26782819808948743, ""surge"": 0.2679663633598076}","{""degradation"": 0.41661986943191065, ""nominal"": 0.15332992689805483, ""surge"": 0.2000298485617245}"
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",100010001100010001,"[""100010001100010001""]",1,0.000244140625,True,False,"[0, 1, 2, 0, 1, 2]",0.2802315309135959,0.30407757267019886,0.2802315309135968,0.0024198400873113616,"{""degradation"": 0.2725513090548211, ""nominal"": 0.28316643189892643, ""surge"": 0.28497685178704035}","{""degradation"": 0.30407757267019886, ""nominal"": 0.18441715658533292, ""surge"": 0.24819830544692706}"
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",100010010010001010,"[""10100010010010001""]",1,0.000244140625,True,False,"[0, 1, 1, 1, 2, 1]",0.3166162412680319,0.4617107483054078,0.31661624126803223,0.003731900007009091,"{""degradation"": 0.21425684152960667, ""nominal"": 0.3752140072209109, ""surge"": 0.3603778750535781}","{""degradation"": 0.026080972318891685, ""nominal"": 0.3709773663032616, ""surge"": 0.4617107483054078}"
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",100010100100010010,"[""10010001001010001""]",1,0.000244140625,True,False,"[0, 1, 0, 0, 1, 1]",0.25633905819282826,0.18676178541624566,0.2563390581928292,0.0015582596175476643,"{""degradation"": 0.24339462392955458, ""nominal"": 0.2623417481142462, ""surge"": 0.263280802534684}","{""degradation"": 0.1650342005211742, ""nominal"": 0.14221009832671533, ""surge"": 0.18676178541624566}"
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",100100010100100100,"[""1001001010001001""]",1,0.000244140625,True,False,"[0, 0, 1, 0, 0, 0]",0.40565477422087737,1.1035884437765755,0.40565477422087765,0.006942696224928489,"{""degradation"": 0.44020465608449255, ""nominal"": 0.40056094266058384, ""surge"": 0.3761987239175558}","{""degradation"": 1.1035884437765755, ""nominal"": 0.4223500349997588, ""surge"": 0.5065105128537201}"
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",100100100100010001,"[""100010001001001001""]",1,0.000244140625,True,False,"[0, 0, 0, 0, 1, 2]",0.3314466378544187,0.7507047711969106,0.3314466378544193,0.004266695220841224,"{""degradation"": 0.36620675191811897, ""nominal"": 0.2980396813568774, ""surge"": 0.3300934802882597}","{""degradation"": 0.7507047711969106, ""nominal"": 0.2145619651623785, ""surge"": 0.37595468258231424}"
