optimizer_seed,qaoa_to_random_bit_onehot_ratio,qaoa_to_random_bit_joint_feasible_ratio,qaoa_minus_random_valid_conditional_feasible,qaoa_minus_random_valid_conditional_near,qaoa_minus_random_bit_best_objective_gap,qaoa_minus_random_bit_best_worst_case_regret,matched_batch_size,p_random_best_gap_at_least_as_good,p_random_best_regret_at_least_as_good,p_random_feasible_fraction_at_least_as_high,p_random_near_fraction_at_least_as_high
6106,2.272727272727273,2.6666666666666665,0.05583984375000001,0.022421875,-0.004076074198774204,-0.03462655498890008,25,0.23023023023023023,0.2062062062062062,0.31368631368631367,0.3016983016983017
6201,6.0,2.75,-0.04402669270833334,0.003987630208333332,-0.05374411918132871,-0.24126819261908722,48,0.23776223776223776,0.23776223776223776,0.7162837162837162,0.4955044955044955
6202,0.35714285714285715,0.5,-0.06513671874999999,-0.01708984375,-0.09060298571804348,-0.35553982101135373,5,0.5372945638432364,0.45132743362831856,0.7902097902097902,1.0
6203,7.875,14.0,-0.03363715277777779,0.00024801587301587213,-0.053961098272284014,-0.28096771043330837,63,0.4045954045954046,0.33966033966033965,0.7872127872127872,0.6233766233766234
6204,2.25,6.0,0.07356770833333331,-0.015380859375,-0.006156890712163798,-0.1274736300230671,18,0.6897590361445783,0.5491967871485943,0.2987012987012987,1.0
