instance_id,D,K,S,construction_runtime_seconds,logical_bits,nonzero_linear,nonzero_quadratic,possible_quadratic_pairs,quadratic_density,mean_interaction_degree,max_interaction_degree,one_hot_penalty_M,qubo_energy_min_or_bound,qubo_energy_max_or_bound,qubo_energy_range,energy_range_mode,valid_minimum,invalid_minimum,invalid_ground_gap,invalid_validation_mode,invalid_states_checked,maximum_one_hot_objective_error
qera-d4-frozen,4,3,3,0.057306500035338104,12,12,34,66,0.5151515151515151,5.666666666666667,6,1.0,0.23388915610648003,19.921965419031284,19.688076262924806,exhaustive,0.23388915610647992,0.8883961867183139,0.6545070306118339,exhaustive,4015,2.7755575615628914e-16
qera-d5-seed6105,5,3,3,0.569300299976021,15,15,55,105,0.5238095238095238,7.333333333333333,8,1.0,0.20684047238339165,23.994107205419983,23.787266733036592,exhaustive,0.20684047238339165,0.9218962352777209,0.7150557628943293,exhaustive,32525,2.7755575615628914e-16
qera-d6-seed6106,6,3,3,6.041226000001188,18,18,80,153,0.5228758169934641,8.88888888888889,10,1.0,0.21312698838541766,27.94410924628236,27.73098225789694,exhaustive,0.213126988385417,0.9720961592443459,0.7589691708589289,exhaustive,261415,2.7755575615628914e-16
qera-d8-seed6108,8,3,3,3.6519089000066742,24,24,140,276,0.5072463768115942,11.666666666666666,12,1.0,-13.972982068405514,57.008887621727226,70.98186969013274,coefficient-bounds,0.20192253053002535,1.0257275765974632,0.8238050460674378,structured-plus-seeded-sample,169301,3.885780586188048e-16
