instance_id,seed,nodes,edges,D,K,S,logical_bits,valid_assignments,exact_status,exact_runtime_seconds,exact_weighted_cost,exact_worst_case_regret,minimax_runtime_seconds,joint_feasible_count,joint_feasible_fraction_valid,greedy_runtime_seconds,local_search_runtime_seconds,simulated_annealing_runtime_seconds,random_valid_feasible_fraction,greedy_weighted_cost,greedy_worst_case_regret,local_search_weighted_cost,local_search_worst_case_regret,simulated_annealing_weighted_cost,simulated_annealing_worst_case_regret,random_valid_best_weighted_cost,random_valid_best_worst_case_regret
qera-d4-frozen,1701,8,12,4,3,3,12,81,OPTIMAL_ENUMERATION,0.01065419998485595,0.24514054470174573,0.12322936529555982,0.001347700017504394,39,0.48148148148148145,0.00018759997328743339,0.0001373999984934926,0.19675940001616254,0.4892578125,0.29848533116890474,0.2958005298503888,0.2623656721800377,0.33808137470709426,0.24514054470174573,0.33808137470709426,0.24514054470174573,0.33808137470709426
qera-d5-seed6105,6105,8,12,5,3,3,15,243,OPTIMAL_ENUMERATION,0.02966890000971034,0.24204912977759752,0.1727673141051882,0.0035688000498339534,72,0.2962962962962963,0.0002443999983370304,7.789995288476348e-05,0.2192345000221394,0.296630859375,0.2770788232978525,0.3049600512982587,0.2770788232978525,0.3049600512982587,0.24204912977759752,0.1727673141051882,0.24204912977759752,0.1727673141051882
qera-d6-seed6106,6106,8,12,6,3,3,18,729,OPTIMAL_ENUMERATION,0.09761170001002029,0.2586347017614709,0.17949497453358348,0.012122300046030432,187,0.25651577503429357,0.0003595000016503036,0.00023770000552758574,0.23986390000209212,0.256103515625,0.2747026144011029,0.2576966562268518,0.27341084234279467,0.32218871550632244,0.2586347017614709,0.17949497453358348,0.2586347017614709,0.17949497453358348
qera-d8-seed6108,6108,8,12,8,3,3,24,6561,OPTIMAL_ENUMERATION,0.9301641000201926,0.2282790920297142,0.12889509295605125,0.1504404000006616,2747,0.418686175887822,0.0006053000106476247,0.00037589995190501213,0.2755192000186071,0.42333984375,0.3052022096434682,0.35851088393962993,0.2508920459241982,0.23151229634783096,0.2282790920297142,0.21293208145786954,0.2282790920297142,0.21293208145786954
