assignment,bits,frozen_objective,expected_transformed_energy,constrained_transformed_energy,qmod_cost_on_bits,affine_error,qmod_error
0000,100100100100,0.6,0.018595562055138622,0.01859556205513862,0.018595562055138612,3.469446951953614e-18,6.938893903907228e-18
0001,100100100010,0.358941657383906,0.006351687163713196,0.00635168716371321,0.006351687163713194,1.3877787807814457e-17,1.5612511283791264e-17
0002,100100100001,0.4280360571430527,0.009861141253408104,0.009861141253408116,0.009861141253408099,1.214306433183765e-17,1.734723475976807e-17
0010,100100010100,0.358941657383906,0.006351687163713196,0.00635168716371321,0.006351687163713194,1.3877787807814457e-17,1.5612511283791264e-17
0011,100100010010,0.27573073948038135,0.0021252245681663896,0.002125224568166392,0.00212522456816639,2.6020852139652106e-18,2.168404344971009e-18
0012,100100010001,0.2596138499879547,0.0013066128725800204,0.0013066128725800175,0.0013066128725800156,2.8189256484623115e-18,1.951563910473908e-18
0020,100100001100,0.44642616515341393,0.010795214636951024,0.010795214636951024,0.01079521463695102,0.0,3.469446951953614e-18
0021,100100001010,0.3136738000106024,0.004052434724380217,0.004052434724380231,0.004052434724380216,1.3877787807814457e-17,1.474514954580286e-17
0022,100100001001,0.34709835775746256,0.005750140345817844,0.005750140345817858,0.005750140345817841,1.3877787807814457e-17,1.6479873021779667e-17
0100,100010100100,0.3346867333821466,0.005119727084026054,0.005119727084026059,0.005119727084026052,5.204170427930421e-18,6.938893903907228e-18
0101,100010100010,0.27606894386921865,0.0021424027009773737,0.0021424027009773737,0.0021424027009773767,0.0,3.0357660829594124e-18
0102,100010100001,0.2865803050690062,0.002676297483759266,0.0026762974837592603,0.002676297483759264,5.637851296924623e-18,3.903127820947816e-18
0110,100010010100,0.23388915610648003,0.0,0.0,5.204170427930421e-18,0.0,5.204170427930421e-18
0111,100010010010,0.33311879130612143,0.005040087912829941,0.00504008791282995,0.005040087912829945,8.673617379884035e-18,5.204170427930421e-18
0112,100010010001,0.25841886325433555,0.00124591691033055,0.0012459169103305585,0.0012459169103305526,8.456776945386935e-18,5.854691731421724e-18
0120,100010001100,0.2627906253166288,0.0014679681663248099,0.0014679681663248212,0.0014679681663248125,1.1275702593849246e-17,8.673617379884035e-18
0121,100010001010,0.3124788132769833,0.00399173876213075,0.003991738762130746,0.0039917387621307525,3.469446951953614e-18,6.071532165918825e-18
0122,100010001001,0.2873203324644843,0.00271388507665536,0.002713885076655357,0.0027138850766553597,3.0357660829594124e-18,2.6020852139652106e-18
0200,100001100100,0.43507204430562224,0.01021851426784625,0.010218514267846255,0.010218514267846254,5.204170427930421e-18,1.734723475976807e-18
0201,100001100010,0.27569142847059647,0.0021232278769071776,0.0021232278769071776,0.0021232278769071876,0.0,9.974659986866641e-18
0202,100001100001,0.3447858282297432,0.005632681966602086,0.005632681966602084,0.005632681966602093,2.6020852139652106e-18,9.540979117872439e-18
0210,100001010100,0.27569142847059647,0.0021232278769071776,0.0021232278769071776,0.0021232278769071885,0.0,1.0842021724855044e-17
0211,100001010010,0.27415823734814004,0.002045353781846726,0.0020453537818467373,0.0020453537818467373,1.1275702593849246e-17,0.0
0212,100001010001,0.2580413478557134,0.0012267420862603568,0.0012267420862603624,0.0012267420862603629,5.637851296924623e-18,4.336808689942018e-19
0220,100001001100,0.4475355117655817,0.010851560752099757,0.010851560752099762,0.010851560752099759,5.204170427930421e-18,3.469446951953614e-18
0221,100001001010,0.39646087340383823,0.008257369340015294,0.008257369340015298,0.008257369340015308,3.469446951953614e-18,1.0408340855860843e-17
0222,100001001001,0.42988543115069844,0.009955074961452925,0.009955074961452925,0.009955074961452934,0.0,8.673617379884035e-18
1000,010100100100,0.3346867333821466,0.005119727084026054,0.005119727084026059,0.005119727084026052,5.204170427930421e-18,6.938893903907228e-18
1001,010100100010,0.23388915610648003,0.0,0.0,5.204170427930421e-18,0.0,5.204170427930421e-18
1002,010100100001,0.24440051730626766,0.0005338947827818952,0.0005338947827818896,0.0005338947827818922,5.637851296924623e-18,2.6020852139652106e-18
1010,010100010100,0.27606894386921865,0.0021424027009773737,0.0021424027009773737,0.0021424027009773767,0.0,3.0357660829594124e-18
1011,010100010010,0.33311879130612143,0.005040087912829941,0.00504008791282995,0.005040087912829945,8.673617379884035e-18,5.204170427930421e-18
1012,010100010001,0.25841886325433555,0.00124591691033055,0.0012459169103305585,0.001245916910330552,8.456776945386935e-18,6.5052130349130266e-18
1020,010100001100,0.2627906253166288,0.0014679681663248099,0.0014679681663248212,0.0014679681663248116,1.1275702593849246e-17,9.540979117872439e-18
1021,010100001010,0.2702990255142447,0.001849336061153376,0.001849336061153376,0.0018493360611533801,0.0,4.119968255444917e-18
1022,010100001001,0.24514054470174573,0.0005714823756779894,0.0005714823756779837,0.0005714823756779869,5.637851296924623e-18,3.144186300207963e-18
1100,010010100100,0.2887037124533543,0.002784149940037421,0.0027841499400374403,0.0027841499400374286,1.951563910473908e-17,1.1709383462843448e-17
1101,010010100010,0.3703466882808537,0.0069309733643881126,0.006930973364388124,0.006930973364388126,1.1275702593849246e-17,1.734723475976807e-18
1102,010010100001,0.32227501092128213,0.004489308840256988,0.004489308840256997,0.004489308840256995,8.673617379884035e-18,1.734723475976807e-18
1110,010010010100,0.3703466882808537,0.0069309733643881126,0.006930973364388124,0.006930973364388126,1.1275702593849246e-17,1.734723475976807e-18
1111,010010010010,0.6098370888209225,0.019095209084617426,0.019095209084617426,0.019095209084617436,0.0,1.0408340855860843e-17
1112,010010010001,0.4765541222097775,0.012325478775205019,0.012325478775205014,0.012325478775205026,5.204170427930421e-18,1.214306433183765e-17
1120,010010001100,0.29848533116890474,0.003280979522822535,0.0032809795228225546,0.003280979522822542,1.951563910473908e-17,1.2576745200831851e-17
1121,010010001010,0.4884342844696866,0.012928897926027846,0.012928897926027855,0.012928897926027853,8.673617379884035e-18,1.734723475976807e-18
1122,010010001001,0.40469276509782837,0.008675484933639434,0.008675484933639442,0.008675484933639442,8.673617379884035e-18,0.0
1200,010001100100,0.31694359783736226,0.004218514832111072,0.004218514832111066,0.004218514832111085,6.071532165918825e-18,1.9081958235744878e-17
1201,010001100010,0.29782374734276396,0.0032473762485713763,0.003247376248571382,0.0032473762485713915,5.637851296924623e-18,9.540979117872439e-18
1202,010001100001,0.30833510854255153,0.003781271031353269,0.0037812710313532717,0.0037812710313532786,2.6020852139652106e-18,6.938893903907228e-18
1210,010001010100,0.3400035351055025,0.005389778949548747,0.005389778949548756,0.005389778949548764,8.673617379884035e-18,7.806255641895632e-18
1211,010001010010,0.4787311093234735,0.01243605266188767,0.012436052661887687,0.012436052661887683,1.734723475976807e-17,3.469446951953614e-18
1212,010001010001,0.4040311812716876,0.008641881659388275,0.008641881659388296,0.008641881659388291,2.0816681711721685e-17,5.204170427930421e-18
1220,010001001100,0.4110847920783898,0.009000149816850928,0.009000149816850924,0.009000149816850943,3.469446951953614e-18,1.9081958235744878e-17
1221,010001001010,0.500270919057074,0.013530106212165851,0.013530106212165858,0.013530106212165867,6.938893903907228e-18,8.673617379884035e-18
1222,010001001001,0.475112438244575,0.012252252526690462,0.012252252526690465,0.012252252526690474,3.469446951953614e-18,8.673617379884035e-18
2000,001100100100,0.422657206321164,0.009587937779891609,0.0095879377798916,0.009587937779891614,8.673617379884035e-18,1.3877787807814457e-17
2001,001100100010,0.2632765904861382,0.0014926513889525368,0.0014926513889525453,0.0014926513889525492,8.456776945386935e-18,3.903127820947816e-18
2002,001100100001,0.4167305657707622,0.009286910880602193,0.009286910880602198,0.0092869108806022,5.204170427930421e-18,1.734723475976807e-18
2010,001100010100,0.30545637824887684,0.0036350540899299103,0.003635054089929919,0.0036350540899299216,8.673617379884035e-18,2.6020852139652106e-18
2011,001100010010,0.30392318712642036,0.003557179994869456,0.003557179994869476,0.0035571799948694712,1.9949319973733282e-17,4.7704895589362195e-18
2012,001100010001,0.372165873159471,0.007023373701237834,0.0070233737012378485,0.007023373701237842,1.474514954580286e-17,6.071532165918825e-18
2020,001100001100,0.35076109825564616,0.005936178862190366,0.00593617886219036,0.005936178862190374,6.071532165918825e-18,1.3877787807814457e-17
2021,001100001010,0.29968645989390275,0.0033419874501059072,0.0033419874501059215,0.003341987450105924,1.431146867680866e-17,2.6020852139652106e-18
2022,001100001001,0.41747059316624024,0.009324498473498286,0.009324498473498293,0.009324498473498295,6.938893903907228e-18,1.734723475976807e-18
2100,001010100100,0.25258405346448726,0.0009495542940989178,0.0009495542940989234,0.0009495542940989336,5.637851296924623e-18,1.0191500421363742e-17
2101,001010100010,0.2756439907326276,0.0021208184115365956,0.0021208184115366125,0.002120818411536612,1.691355389077387e-17,4.336808689942018e-19
2102,001010100001,0.3705149274578924,0.006939518596273235,0.0069395185962732465,0.006939518596273246,1.1275702593849246e-17,8.673617379884035e-19
2110,001010010100,0.2756439907326276,0.0021208184115365956,0.0021208184115366125,0.002120818411536613,1.691355389077387e-17,4.336808689942018e-19
2111,001010010010,0.45655135271333713,0.011309494824852889,0.011309494824852894,0.011309494824852905,5.204170427930421e-18,1.0408340855860843e-17
2112,001010010001,0.46621100018702843,0.011800129224308242,0.011800129224308247,0.011800129224308259,5.204170427930421e-18,1.214306433183765e-17
2120,001010001100,0.2623656721800377,0.001446383876884032,0.0014463838768840377,0.001446383876884047,5.637851296924623e-18,9.324138683375338e-18
2121,001010001010,0.39373158692146026,0.008118742973176317,0.00811874297317634,0.00811874297317634,2.2551405187698492e-17,0.0
2122,001010001001,0.4529326816344386,0.011125694689655682,0.011125694689655696,0.011125694689655694,1.3877787807814457e-17,1.734723475976807e-18
2200,001001100100,0.3529693643879629,0.0060483414779191145,0.00604834147791912,0.006048341477919135,5.204170427930421e-18,1.5612511283791264e-17
2201,001001100010,0.27526647533400533,0.002101643587466397,0.0021016435874664165,0.002101643587466423,1.951563910473908e-17,6.5052130349130266e-18
